,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,,,{    0.039441946       -0.047086272        0.226891640},{    0.041608763       -0.042570361        0.221577707}
,,,{    0.039379011       -0.047190942        0.226928509},{    0.041547709       -0.042662924        0.221617120}
,,,{    0.039316100       -0.047295816        0.226965285},{    0.041486660       -0.042755681        0.221656455}
,,,{    0.039253212       -0.047400895        0.227001965},{    0.041425614       -0.042848634        0.221695713}
,,,{    0.039190350       -0.047506178        0.227038551},{    0.041364572       -0.042941781        0.221734893}
,,,{    0.039127512       -0.047611666        0.227075041},{    0.041303535       -0.043035124        0.221773995}
,,,{    0.039064701       -0.047717359        0.227111436},{    0.041242503       -0.043128663        0.221813019}
,,,{    0.039001915       -0.047823256        0.227147735},{    0.041181477       -0.043222396        0.221851964}
,,,{    0.038939155       -0.047929358        0.227183938},{    0.041120457       -0.043316326        0.221890830}
,,,{    0.038876423       -0.048035665        0.227220044},{    0.041059442       -0.043410450        0.221929617}
,,,{    0.038813718       -0.048142176        0.227256054},{    0.040998435       -0.043504770        0.221968324}
,,,{    0.038751040       -0.048248892        0.227291967},{    0.040937435       -0.043599285        0.222006952}
,,,{    0.038688391       -0.048355812        0.227327783},{    0.040876442       -0.043693996        0.222045499}
,,,{    0.038625770       -0.048462937        0.227363501},{    0.040815457       -0.043788903        0.222083966}
,,,{    0.038563178       -0.048570266        0.227399122},{    0.040754480       -0.043884005        0.222122353}
,,,{    0.038500616       -0.048677799        0.227434645},{    0.040693512       -0.043979303        0.222160659}
,,,{    0.038438084       -0.048785537        0.227470069},{    0.040632553       -0.044074796        0.222198884}
,,,{    0.038375582       -0.048893479        0.227505395},{    0.040571604       -0.044170485        0.222237027}
,,,{    0.038313110       -0.049001625        0.227540622},{    0.040510664       -0.044266370        0.222275088}
,,,{    0.038250670       -0.049109975        0.227575750},{    0.040449735       -0.044362451        0.222313068}
,,,{    0.038188262       -0.049218530        0.227610778},{    0.040388816       -0.044458727        0.222350966}
,,,{    0.038125886       -0.049327289        0.227645707},{    0.040327909       -0.044555199        0.222388781}
,,,{    0.038063542       -0.049436252        0.227680536},{    0.040267013       -0.044651867        0.222426513}
,,,{    0.038001231       -0.049545419        0.227715265},{    0.040206128       -0.044748731        0.222464162}
,,,{    0.037938953       -0.049654790        0.227749894},{    0.040145256       -0.044845791        0.222501728}
,,,{    0.037876709       -0.049764365        0.227784421},{    0.040084397       -0.044943046        0.222539211}
,,,{    0.037814500       -0.049874144        0.227818848},{    0.040023551       -0.045040498        0.222576610}
,,,{    0.037752325       -0.049984127        0.227853174},{    0.039962718       -0.045138145        0.222613924}
,,,{    0.037690185       -0.050094313        0.227887398},{    0.039901899       -0.045235988        0.222651154}
,,,{    0.037628080       -0.050204703        0.227921520},{    0.039841094       -0.045334028        0.222688300}
,,,{    0.037566012       -0.050315297        0.227955540},{    0.039780304       -0.045432263        0.222725361}
,,,{    0.037503980       -0.050426095        0.227989458},{    0.039719529       -0.045530694        0.222762336}
,,,{    0.037441985       -0.050537096        0.228023274},{    0.039658770       -0.045629321        0.222799226}
,,,{    0.037380027       -0.050648301        0.228056986},{    0.039598026       -0.045728144        0.222836031}
,,,{    0.037318107       -0.050759709        0.228090596},{    0.039537299       -0.045827164        0.222872749}
,,,{    0.037256225       -0.050871321        0.228124102},{    0.039476588       -0.045926379        0.222909381}
,,,{    0.037194382       -0.050983136        0.228157504},{    0.039415895       -0.046025790        0.222945927}
,,,{    0.037132578       -0.051095154        0.228190803},{    0.039355219       -0.046125397        0.222982386}
,,,{    0.037070813       -0.051207376        0.228223998},{    0.039294560       -0.046225200        0.223018758}
,,,{    0.037009088       -0.051319801        0.228257088},{    0.039233921       -0.046325200        0.223055043}
,,,{    0.036947403       -0.051432428        0.228290073},{    0.039173299       -0.046425395        0.223091240}
,,,{    0.036885759       -0.051545259        0.228322953},{    0.039112697       -0.046525786        0.223127349}
,,,{    0.036824157       -0.051658293        0.228355729},{    0.039052115       -0.046626374        0.223163370}
,,,{    0.036762596       -0.051771529        0.228388398},{    0.038991552       -0.046727157        0.223199303}
,,,{    0.036701077       -0.051884969        0.228420962},{    0.038931010       -0.046828136        0.223235147}
,,,{    0.036639600       -0.051998611        0.228453420},{    0.038870488       -0.046929312        0.223270902}
,,,{    0.036578167       -0.052112455        0.228485772},{    0.038809988       -0.047030683        0.223306568}
,,,{    0.036516777       -0.052226503        0.228518018},{    0.038749509       -0.047132250        0.223342145}
,,,{    0.036455431       -0.052340752        0.228550156},{    0.038689052       -0.047234014        0.223377632}
,,,{    0.036394129       -0.052455205        0.228582188},{    0.038628618       -0.047335973        0.223413029}
,,,{    0.036332872       -0.052569859        0.228614112},{    0.038568206       -0.047438128        0.223448336}
,,,{    0.036271660       -0.052684716        0.228645929},{    0.038507818       -0.047540479        0.223483552}
,,,{    0.036210493       -0.052799775        0.228677638},{    0.038447453       -0.047643026        0.223518678}
,,,{    0.036149373       -0.052915036        0.228709238},{    0.038387112       -0.047745769        0.223553713}
,,,{    0.036088299       -0.053030499        0.228740731},{    0.038326795       -0.047848708        0.223588656}
,,,{    0.036027272       -0.053146164        0.228772115},{    0.038266503       -0.047951843        0.223623508}
,,,{    0.035966292       -0.053262031        0.228803390},{    0.038206237       -0.048055174        0.223658268}
,,,{    0.035905360       -0.053378099        0.228834556},{    0.038145996       -0.048158700        0.223692936}
,,,{    0.035844476       -0.053494369        0.228865613},{    0.038085781       -0.048262422        0.223727512}
,,,{    0.035783641       -0.053610841        0.228896560},{    0.038025593       -0.048366341        0.223761995}
,,,{    0.035722856       -0.053727514        0.228927397},{    0.037965431       -0.048470454        0.223796386}
,,,{    0.035662119       -0.053844388        0.228958124},{    0.037905297       -0.048574764        0.223830683}
,,,{    0.035601433       -0.053961464        0.228988741},{    0.037845191       -0.048679269        0.223864887}
,,,{    0.035540797       -0.054078741        0.229019248},{    0.037785112       -0.048783970        0.223898998}
,,,{    0.035480212       -0.054196219        0.229049643},{    0.037725062       -0.048888867        0.223933014}
,,,{    0.035419678       -0.054313898        0.229079927},{    0.037665041       -0.048993959        0.223966937}
,,,{    0.035359196       -0.054431778        0.229110100},{    0.037605050       -0.049099247        0.224000765}
,,,{    0.035298766       -0.054549858        0.229140162},{    0.037545088       -0.049204730        0.224034498}
,,,{    0.035238389       -0.054668139        0.229170111},{    0.037485156       -0.049310409        0.224068137}
,,,{    0.035178064       -0.054786621        0.229199948},{    0.037425255       -0.049416283        0.224101680}
,,,{    0.035117794       -0.054905303        0.229229673},{    0.037365385       -0.049522353        0.224135128}
,,,{    0.035057577       -0.055024186        0.229259286},{    0.037305546       -0.049628618        0.224168480}
,,,{    0.034997414       -0.055143268        0.229288785},{    0.037245739       -0.049735079        0.224201737}
,,,{    0.034937307       -0.055262551        0.229318172},{    0.037185964       -0.049841735        0.224234897}
,,,{    0.034877254       -0.055382034        0.229347445},{    0.037126222       -0.049948586        0.224267961}
,,,{    0.034817258       -0.055501717        0.229376604},{    0.037066513       -0.050055633        0.224300928}
,,,{    0.034757317       -0.055621599        0.229405650},{    0.037006837       -0.050162874        0.224333798}
,,,{    0.034697433       -0.055741681        0.229434581},{    0.036947195       -0.050270311        0.224366571}
,,,{    0.034637606       -0.055861963        0.229463398},{    0.036887588       -0.050377943        0.224399247}
,,,{    0.034577837       -0.055982444        0.229492101},{    0.036828015       -0.050485770        0.224431825}
,,,{    0.034518125       -0.056103124        0.229520689},{    0.036768478       -0.050593792        0.224464305}
,,,{    0.034458472       -0.056224004        0.229549161},{    0.036708976       -0.050702008        0.224496686}
,,,{    0.034398878       -0.056345082        0.229577519},{    0.036649509       -0.050810420        0.224528969}
,,,{    0.034339342       -0.056466360        0.229605760},{    0.036590080       -0.050919027        0.224561154}
,,,{    0.034279867       -0.056587836        0.229633886},{    0.036530687       -0.051027828        0.224593240}
,,,{    0.034220451       -0.056709511        0.229661896},{    0.036471331       -0.051136824        0.224625226}
,,,{    0.034161096       -0.056831385        0.229689790},{    0.036412013       -0.051246015        0.224657113}
,,,{    0.034101802       -0.056953457        0.229717567},{    0.036352732       -0.051355400        0.224688900}
,,,{    0.034042570       -0.057075727        0.229745227},{    0.036293491       -0.051464980        0.224720587}
,,,{    0.033983399       -0.057198196        0.229772770},{    0.036234288       -0.051574755        0.224752174}
,,,{    0.033924291       -0.057320862        0.229800196},{    0.036175124       -0.051684724        0.224783661}
,,,{    0.033865245       -0.057443727        0.229827505},{    0.036116000       -0.051794887        0.224815046}
,,,{    0.033806262       -0.057566789        0.229854695},{    0.036056917       -0.051905244        0.224846331}
,,,{    0.033747344       -0.057690049        0.229881768},{    0.035997873       -0.052015796        0.224877515}
,,,{    0.033688489       -0.057813506        0.229908723},{    0.035938871       -0.052126542        0.224908597}
,,,{    0.033629698       -0.057937161        0.229935559},{    0.035879910       -0.052237482        0.224939577}
,,,{    0.033570973       -0.058061012        0.229962276},{    0.035820991       -0.052348616        0.224970456}
,,,{    0.033512313       -0.058185061        0.229988875},{    0.035762114       -0.052459944        0.225001232}
,,,{    0.033453719       -0.058309307        0.230015354},{    0.035703279       -0.052571466        0.225031906}
,,,{    0.033395191       -0.058433750        0.230041714},{    0.035644488       -0.052683182        0.225062477}
,,,{    0.033336729       -0.058558389        0.230067954},{    0.035585740       -0.052795091        0.225092945}
,,,{    0.033278335       -0.058683225        0.230094074},{    0.035527036       -0.052907195        0.225123310}
,,,{    0.033220009       -0.058808257        0.230120075},{    0.035468376       -0.053019491        0.225153572}
,,,{    0.033161750       -0.058933486        0.230145955},{    0.035409761       -0.053131981        0.225183729}
,,,{    0.033103560       -0.059058910        0.230171714},{    0.035351191       -0.053244665        0.225213783}
,,,{    0.033045439       -0.059184530        0.230197353},{    0.035292666       -0.053357542        0.225243733}
,,,{    0.032987387       -0.059310346        0.230222870},{    0.035234188       -0.053470612        0.225273578}
,,,{    0.032929404       -0.059436358        0.230248266},{    0.035175756       -0.053583876        0.225303319}
,,,{    0.032871492       -0.059562565        0.230273541},{    0.035117370       -0.053697332        0.225332955}
,,,{    0.032813651       -0.059688967        0.230298694},{    0.035059032       -0.053810982        0.225362485}
,,,{    0.032755881       -0.059815565        0.230323725},{    0.035000741       -0.053924824        0.225391910}
,,,{    0.032698182       -0.059942357        0.230348634},{    0.034942499       -0.054038859        0.225421230}
,,,{    0.032640555       -0.060069344        0.230373420},{    0.034884305       -0.054153087        0.225450444}
,,,{    0.032583001       -0.060196526        0.230398084},{    0.034826159       -0.054267508        0.225479551}
,,,{    0.032525519       -0.060323903        0.230422625},{    0.034768063       -0.054382121        0.225508552}
,,,{    0.032468111       -0.060451473        0.230447043},{    0.034710017       -0.054496927        0.225537447}
,,,{    0.032410777       -0.060579238        0.230471337},{    0.034652021       -0.054611925        0.225566235}
,,,{    0.032353516       -0.060707197        0.230495508},{    0.034594075       -0.054727115        0.225594916}
,,,{    0.032296330       -0.060835350        0.230519555},{    0.034536181       -0.054842497        0.225623489}
,,,{    0.032239220       -0.060963696        0.230543478},{    0.034478338       -0.054958072        0.225651955}
,,,{    0.032182184       -0.061092236        0.230567277},{    0.034420546       -0.055073839        0.225680313}
,,,{    0.032125225       -0.061220969        0.230590951},{    0.034362807       -0.055189797        0.225708563}
,,,{    0.032068342       -0.061349895        0.230614501},{    0.034305120       -0.055305947        0.225736705}
,,,{    0.032011536       -0.061479014        0.230637926},{    0.034247487       -0.055422289        0.225764738}
,,,{    0.031954806       -0.061608326        0.230661225},{    0.034189907       -0.055538822        0.225792662}
,,,{    0.031898155       -0.061737831        0.230684400},{    0.034132381       -0.055655547        0.225820478}
,,,{    0.031841582       -0.061867528        0.230707448},{    0.034074909       -0.055772463        0.225848184}
,,,{    0.031785087       -0.061997418        0.230730371},{    0.034017492       -0.055889571        0.225875781}
,,,{    0.031728671       -0.062127499        0.230753168},{    0.033960130       -0.056006870        0.225903269}
,,,{    0.031672334       -0.062257772        0.230775839},{    0.033902823       -0.056124359        0.225930646}
,,,{    0.031616078       -0.062388237        0.230798383},{    0.033845573       -0.056242040        0.225957913}
,,,{    0.031559901       -0.062518894        0.230820800},{    0.033788379       -0.056359911        0.225985070}
,,,{    0.031503806       -0.062649742        0.230843091},{    0.033731242       -0.056477973        0.226012116}
,,,{    0.031447791       -0.062780781        0.230865255},{    0.033674162       -0.056596226        0.226039051}
,,,{    0.031391858       -0.062912011        0.230887291},{    0.033617139       -0.056714669        0.226065876}
,,,{    0.031336007       -0.063043432        0.230909199},{    0.033560175       -0.056833302        0.226092588}
,,,{    0.031280239       -0.063175044        0.230930980},{    0.033503269       -0.056952126        0.226119190}
,,,{    0.031224553       -0.063306846        0.230952633},{    0.033446423       -0.057071140        0.226145680}
,,,{    0.031168951       -0.063438838        0.230974158},{    0.033389635       -0.057190343        0.226172057}
,,,{    0.031113432       -0.063571020        0.230995554},{    0.033332907       -0.057309737        0.226198323}
,,,{    0.031057998       -0.063703392        0.231016822},{    0.033276240       -0.057429320        0.226224476}
,,,{    0.031002648       -0.063835954        0.231037960},{    0.033219633       -0.057549093        0.226250516}
,,,{    0.030947384       -0.063968705        0.231058970},{    0.033163087       -0.057669056        0.226276443}
,,,{    0.030892205       -0.064101646        0.231079851},{    0.033106603       -0.057789207        0.226302257}
,,,{    0.030837111       -0.064234775        0.231100602},{    0.033050180       -0.057909548        0.226327958}
,,,{    0.030782104       -0.064368094        0.231121223},{    0.032993820       -0.058030079        0.226353545}
,,,{    0.030727184       -0.064501601        0.231141715},{    0.032937522       -0.058150798        0.226379019}
,,,{    0.030672352       -0.064635296        0.231162076},{    0.032881288       -0.058271705        0.226404378}
,,,{    0.030617606       -0.064769180        0.231182307},{    0.032825116       -0.058392802        0.226429623}
,,,{    0.030562949       -0.064903252        0.231202407},{    0.032769009       -0.058514087        0.226454754}
,,,{    0.030508381       -0.065037511        0.231222377},{    0.032712967       -0.058635561        0.226479770}
,,,{    0.030453901       -0.065171959        0.231242216},{    0.032656989       -0.058757223        0.226504670}
,,,{    0.030399511       -0.065306594        0.231261924},{    0.032601076       -0.058879073        0.226529456}
,,,{    0.030345210       -0.065441415        0.231281500},{    0.032545229       -0.059001111        0.226554126}
,,,{    0.030291000       -0.065576424        0.231300945},{    0.032489448       -0.059123337        0.226578681}
,,,{    0.030236881       -0.065711620        0.231320258},{    0.032433733       -0.059245750        0.226603120}
,,,{    0.030182853       -0.065847003        0.231339439},{    0.032378086       -0.059368352        0.226627443}
,,,{    0.030128916       -0.065982571        0.231358488},{    0.032322505       -0.059491140        0.226651649}
,,,{    0.030075071       -0.066118326        0.231377404},{    0.032266992       -0.059614116        0.226675739}
,,,{    0.030021319       -0.066254267        0.231396188},{    0.032211548       -0.059737280        0.226699712}
,,,{    0.029967659       -0.066390394        0.231414839},{    0.032156172       -0.059860630        0.226723569}
,,,{    0.029914093       -0.066526706        0.231433358},{    0.032100865       -0.059984167        0.226747308}
,,,{    0.029860620       -0.066663203        0.231451743},{    0.032045627       -0.060107891        0.226770930}
,,,{    0.029807242       -0.066799886        0.231469994},{    0.031990459       -0.060231801        0.226794434}
,,,{    0.029753958       -0.066936753        0.231488112},{    0.031935361       -0.060355898        0.226817820}
,,,{    0.029700769       -0.067073805        0.231506096},{    0.031880334       -0.060480181        0.226841088}
,,,{    0.029647676       -0.067211042        0.231523947},{    0.031825378       -0.060604650        0.226864238}
,,,{    0.029594678       -0.067348462        0.231541663},{    0.031770494       -0.060729305        0.226887270}
,,,{    0.029541777       -0.067486067        0.231559245},{    0.031715681       -0.060854146        0.226910183}
,,,{    0.029488973       -0.067623855        0.231576692},{    0.031660941       -0.060979172        0.226932977}
,,,{    0.029436265       -0.067761827        0.231594004},{    0.031606273       -0.061104384        0.226955652}
,,,{    0.029383655       -0.067899982        0.231611181},{    0.031551679       -0.061229782        0.226978207}
,,,{    0.029331144       -0.068038320        0.231628224},{    0.031497158       -0.061355364        0.227000643}
,,,{    0.029278730       -0.068176841        0.231645131},{    0.031442711       -0.061481132        0.227022959}
,,,{    0.029226416       -0.068315545        0.231661902},{    0.031388338       -0.061607084        0.227045155}
,,,{    0.029174200       -0.068454431        0.231678537},{    0.031334041       -0.061733221        0.227067232}
,,,{    0.029122085       -0.068593499        0.231695037},{    0.031279818       -0.061859542        0.227089187}
,,,{    0.029070069       -0.068732749        0.231711401},{    0.031225671       -0.061986048        0.227111022}
,,,{    0.029018155       -0.068872180        0.231727628},{    0.031171601       -0.062112738        0.227132736}
,,,{    0.028966341       -0.069011793        0.231743719},{    0.031117606       -0.062239612        0.227154330}
,,,{    0.028914628       -0.069151587        0.231759673},{    0.031063689       -0.062366670        0.227175802}
,,,{    0.028863018       -0.069291562        0.231775490},{    0.031009849       -0.062493911        0.227197152}
,,,{    0.028811509       -0.069431718        0.231791170},{    0.030956086       -0.062621336        0.227218381}
,,,{    0.028760104       -0.069572054        0.231806712},{    0.030902402       -0.062748944        0.227239488}
,,,{    0.028708801       -0.069712571        0.231822118},{    0.030848796       -0.062876736        0.227260473}
,,,{    0.028657602       -0.069853267        0.231837385},{    0.030795270       -0.063004710        0.227281335}
,,,{    0.028606507       -0.069994143        0.231852515},{    0.030741822       -0.063132867        0.227302075}
,,,{    0.028555516       -0.070135199        0.231867507},{    0.030688455       -0.063261207        0.227322693}
,,,{    0.028504631       -0.070276434        0.231882361},{    0.030635167       -0.063389729        0.227343187}
,,,{    0.028453850       -0.070417847        0.231897076},{    0.030581961       -0.063518433        0.227363559}
,,,{    0.028403175       -0.070559440        0.231911653},{    0.030528835       -0.063647320        0.227383807}
,,,{    0.028352606       -0.070701211        0.231926091},{    0.030475791       -0.063776388        0.227403932}
,,,{    0.028302144       -0.070843160        0.231940390},{    0.030422828       -0.063905638        0.227423932}
,,,{    0.028251788       -0.070985287        0.231954550},{    0.030369948       -0.064035069        0.227443809}
,,,{    0.028201540       -0.071127592        0.231968570},{    0.030317151       -0.064164682        0.227463562}
,,,{    0.028151400       -0.071270074        0.231982451},{    0.030264437       -0.064294476        0.227483191}
,,,{    0.028101368       -0.071412734        0.231996193},{    0.030211806       -0.064424451        0.227502695}
,,,{    0.028051444       -0.071555570        0.232009794},{    0.030159259       -0.064554607        0.227522074}
,,,{    0.028001630       -0.071698583        0.232023256},{    0.030106797       -0.064684943        0.227541328}
,,,{    0.027951925       -0.071841773        0.232036577},{    0.030054419       -0.064815460        0.227560458}
,,,{    0.027902330       -0.071985138        0.232049759},{    0.030002127       -0.064946156        0.227579461}
,,,{    0.027852845       -0.072128680        0.232062799},{    0.029949920       -0.065077033        0.227598340}
,,,{    0.027803470       -0.072272397        0.232075699},{    0.029897799       -0.065208090        0.227617092}
,,,{    0.027754207       -0.072416290        0.232088458},{    0.029845765       -0.065339326        0.227635719}
,,,{    0.027705056       -0.072560358        0.232101075},{    0.029793817       -0.065470742        0.227654220}
,,,{    0.027656016       -0.072704600        0.232113552},{    0.029741957       -0.065602336        0.227672594}
,,,{    0.027607089       -0.072849017        0.232125887},{    0.029690184       -0.065734110        0.227690842}
,,,{    0.027558275       -0.072993609        0.232138081},{    0.029638499       -0.065866063        0.227708963}
,,,{    0.027509574       -0.073138374        0.232150133},{    0.029586903       -0.065998194        0.227726957}
,,,{    0.027460986       -0.073283314        0.232162042},{    0.029535396       -0.066130504        0.227744824}
,,,{    0.027412513       -0.073428426        0.232173810},{    0.029483978       -0.066262992        0.227762564}
,,,{    0.027364154       -0.073573712        0.232185436},{    0.029432650       -0.066395657        0.227780176}
,,,{    0.027315910       -0.073719171        0.232196919},{    0.029381412       -0.066528501        0.227797661}
,,,{    0.027267781       -0.073864803        0.232208259},{    0.029330264       -0.066661522        0.227815018}
,,,{    0.027219768       -0.074010607        0.232219457},{    0.029279207       -0.066794721        0.227832246}
,,,{    0.027171871       -0.074156583        0.232230511},{    0.029228242       -0.066928097        0.227849347}
,,,{    0.027124090       -0.074302731        0.232241423},{    0.029177369       -0.067061649        0.227866319}
,,,{    0.027076427       -0.074449051        0.232252191},{    0.029126587       -0.067195379        0.227883162}
,,,{    0.027028881       -0.074595542        0.232262816},{    0.029075898       -0.067329285        0.227899877}
,,,{    0.026981453       -0.074742204        0.232273297},{    0.029025303       -0.067463367        0.227916463}
,,,{    0.026934142       -0.074889036        0.232283634},{    0.028974800       -0.067597625        0.227932919}
,,,{    0.026886951       -0.075036040        0.232293828},{    0.028924392       -0.067732060        0.227949246}
,,,{    0.026839879       -0.075183213        0.232303877},{    0.028874077       -0.067866670        0.227965443}
,,,{    0.026792925       -0.075330556        0.232313782},{    0.028823858       -0.068001455        0.227981511}
,,,{    0.026746092       -0.075478069        0.232323542},{    0.028773733       -0.068136416        0.227997449}
,,,{    0.026699379       -0.075625751        0.232333158},{    0.028723704       -0.068271551        0.228013257}
,,,{    0.026652787       -0.075773602        0.232342630},{    0.028673770       -0.068406862        0.228028934}
,,,{    0.026606316       -0.075921622        0.232351956},{    0.028623933       -0.068542347        0.228044481}
,,,{    0.026559966       -0.076069810        0.232361137},{    0.028574193       -0.068678006        0.228059897}
,,,{    0.026513738       -0.076218167        0.232370173},{    0.028524549       -0.068813840        0.228075182}
,,,{    0.026467633       -0.076366691        0.232379064},{    0.028475003       -0.068949847        0.228090337}
,,,{    0.026421650       -0.076515383        0.232387809},{    0.028425555       -0.069086028        0.228105360}
,,,{    0.026375790       -0.076664242        0.232396408},{    0.028376206       -0.069222383        0.228120251}
,,,{    0.026330054       -0.076813269        0.232404862},{    0.028326955       -0.069358911        0.228135011}
,,,{    0.026284442       -0.076962461        0.232413169},{    0.028277803       -0.069495612        0.228149640}
,,,{    0.026238954       -0.077111821        0.232421330},{    0.028228750       -0.069632485        0.228164136}
,,,{    0.026193591       -0.077261346        0.232429345},{    0.028179798       -0.069769531        0.228178500}
,,,{    0.026148353       -0.077411037        0.232437214},{    0.028130946       -0.069906750        0.228192732}
,,,{    0.026103241       -0.077560894        0.232444936},{    0.028082194       -0.070044140        0.228206831}
,,,{    0.026058254       -0.077710916        0.232452511},{    0.028033544       -0.070181702        0.228220798}
,,,{    0.026013394       -0.077861103        0.232459939},{    0.027984995       -0.070319436        0.228234632}
,,,{    0.025968661       -0.078011454        0.232467220},{    0.027936548       -0.070457341        0.228248333}
,,,{    0.025924055       -0.078161970        0.232474353},{    0.027888204       -0.070595418        0.228261901}
,,,{    0.025879576       -0.078312650        0.232481340},{    0.027839962       -0.070733665        0.228275335}
,,,{    0.025835226       -0.078463493        0.232488179},{    0.027791823       -0.070872083        0.228288636}
,,,{    0.025791003       -0.078614500        0.232494870},{    0.027743788       -0.071010671        0.228301803}
,,,{    0.025746910       -0.078765670        0.232501413},{    0.027695857       -0.071149430        0.228314837}
,,,{    0.025702946       -0.078917002        0.232507808},{    0.027648030       -0.071288358        0.228327736}
,,,{    0.025659111       -0.079068497        0.232514056},{    0.027600308       -0.071427456        0.228340501}
,,,{    0.025615407       -0.079220155        0.232520155},{    0.027552691       -0.071566724        0.228353131}
,,,{    0.025571833       -0.079371974        0.232526105},{    0.027505180       -0.071706160        0.228365627}
,,,{    0.025528389       -0.079523954        0.232531907},{    0.027457774       -0.071845766        0.228377989}
,,,{    0.025485077       -0.079676096        0.232537560},{    0.027410475       -0.071985540        0.228390215}
,,,{    0.025441897       -0.079828399        0.232543065},{    0.027363283       -0.072125483        0.228402307}
,,,{    0.025398848       -0.079980862        0.232548420},{    0.027316198       -0.072265594        0.228414263}
,,,{    0.025355932       -0.080133486        0.232553627},{    0.027269220       -0.072405873        0.228426083}
,,,{    0.025313149       -0.080286269        0.232558684},{    0.027222350       -0.072546320        0.228437768}
,,,{    0.025270499       -0.080439212        0.232563591},{    0.027175589       -0.072686934        0.228449318}
,,,{    0.025227982       -0.080592315        0.232568350},{    0.027128937       -0.072827715        0.228460731}
,,,{    0.025185599       -0.080745576        0.232572958},{    0.027082393       -0.072968663        0.228472009}
,,,{    0.025143351       -0.080898996        0.232577417},{    0.027035959       -0.073109778        0.228483150}
,,,{    0.025101238       -0.081052575        0.232581725},{    0.026989635       -0.073251059        0.228494155}
,,,{    0.025059260       -0.081206311        0.232585884},{    0.026943422       -0.073392507        0.228505023}
,,,{    0.025017417       -0.081360206        0.232589892},{    0.026897319       -0.073534120        0.228515754}
,,,{    0.024975710       -0.081514257        0.232593750},{    0.026851327       -0.073675899        0.228526349}
,,,{    0.024934140       -0.081668466        0.232597457},{    0.026805447       -0.073817844        0.228536806}
,,,{    0.024892706       -0.081822832        0.232601014},{    0.026759679       -0.073959953        0.228547127}
,,,{    0.024851410       -0.081977353        0.232604420},{    0.026714023       -0.074102228        0.228557310}
,,,{    0.024810251       -0.082132031        0.232607676},{    0.026668480       -0.074244667        0.228567355}
,,,{    0.024769230       -0.082286865        0.232610780},{    0.026623050       -0.074387270        0.228577263}
,,,{    0.024728347       -0.082441854        0.232613733},{    0.026577733       -0.074530037        0.228587033}
,,,{    0.024687603       -0.082596998        0.232616534},{    0.026532531       -0.074672968        0.228596665}
,,,{    0.024646999       -0.082752297        0.232619185},{    0.026487442       -0.074816063        0.228606158}
,,,{    0.024606533       -0.082907751        0.232621683},{    0.026442469       -0.074959321        0.228615514}
,,,{    0.024566208       -0.083063358        0.232624030},{    0.026397610       -0.075102742        0.228624731}
,,,{    0.024526023       -0.083219120        0.232626226},{    0.026352867       -0.075246326        0.228633809}
,,,{    0.024485978       -0.083375034        0.232628269},{    0.026308240       -0.075390072        0.228642748}
,,,{    0.024446075       -0.083531102        0.232630160},{    0.026263729       -0.075533981        0.228651549}
,,,{    0.024406313       -0.083687323        0.232631899},{    0.026219335       -0.075678051        0.228660210}
,,,{    0.024366692       -0.083843696        0.232633486},{    0.026175057       -0.075822283        0.228668733}
,,,{    0.024327214       -0.084000221        0.232634920},{    0.026130898       -0.075966676        0.228677115}
,,,{    0.024287879       -0.084156898        0.232636202},{    0.026086856       -0.076111231        0.228685359}
,,,{    0.024248686       -0.084313726        0.232637331},{    0.026042932       -0.076255946        0.228693462}
,,,{    0.024209637       -0.084470706        0.232638307},{    0.025999127       -0.076400821        0.228701426}
,,,{    0.024170732       -0.084627836        0.232639131},{    0.025955440       -0.076545858        0.228709250}
,,,{    0.024131971       -0.084785116        0.232639801},{    0.025911874       -0.076691053        0.228716933}
,,,{    0.024093354       -0.084942547        0.232640318},{    0.025868427       -0.076836409        0.228724477}
,,,{    0.024054883       -0.085100127        0.232640682},{    0.025825100       -0.076981924        0.228731880}
,,,{    0.024016556       -0.085257856        0.232640893},{    0.025781893       -0.077127598        0.228739142}
,,,{    0.023978375       -0.085415735        0.232640950},{    0.025738808       -0.077273432        0.228746263}
,,,{    0.023940341       -0.085573762        0.232640853},{    0.025695844       -0.077419423        0.228753244}
,,,{    0.023902452       -0.085731938        0.232640603},{    0.025653002       -0.077565573        0.228760084}
,,,{    0.023864711       -0.085890261        0.232640198},{    0.025610281       -0.077711881        0.228766782}
,,,{    0.023827117       -0.086048732        0.232639640},{    0.025567684       -0.077858347        0.228773339}
,,,{    0.023789670       -0.086207350        0.232638928},{    0.025525209       -0.078004970        0.228779755}
,,,{    0.023752371       -0.086366116        0.232638061},{    0.025482857       -0.078151750        0.228786029}
,,,{    0.023715221       -0.086525027        0.232637041},{    0.025440629       -0.078298687        0.228792161}
,,,{    0.023678219       -0.086684085        0.232635865},{    0.025398525       -0.078445780        0.228798152}
,,,{    0.023641367       -0.086843289        0.232634536},{    0.025356546       -0.078593030        0.228804000}
,,,{    0.023604663       -0.087002639        0.232633051},{    0.025314691       -0.078740436        0.228809706}
,,,{    0.023568110       -0.087162133        0.232631412},{    0.025272961       -0.078887998        0.228815270}
,,,{    0.023531707       -0.087321772        0.232629618},{    0.025231357       -0.079035714        0.228820692}
